time,v_target
0.0,-4.325012059499849
2e-09,25.27144202797805
4e-09,56.695002953237086
6.000000000000001e-09,89.16207963093709
8e-09,121.12444248200318
1e-08,150.36756078974383
1.2000000000000002e-08,174.3188131426818
1.4000000000000001e-08,190.5040675045947
1.6e-08,197.04852096902798
1.8000000000000002e-08,193.10055371991737
2e-08,179.0706749342725
2.2000000000000002e-08,156.6186756344821
2.4000000000000003e-08,128.38100530706382
2.6e-08,97.492647667811
2.8000000000000003e-08,67.00786832976361
3.0000000000000004e-08,39.34953909837458
3.2e-08,15.910821020348337
3.4e-08,-3.1029002684366134
3.6000000000000005e-08,-18.561023169923867
3.8e-08,-32.05712113743924
4e-08,-45.40974347522142
4.2000000000000006e-08,-60.1369959108319
4.4000000000000004e-08,-77.030389600464
4.6e-08,-95.92595656467344
4.8000000000000006e-08,-115.71978739715911
5.0000000000000004e-08,-134.61397290121585
5.2e-08,-150.52287577308442
5.4e-08,-161.5326760298847
5.6000000000000005e-08,-166.2981597996829
5.8e-08,-164.28144834672014
6.000000000000001e-08,-155.78188181736667
6.2e-08,-141.7626489841553
6.4e-08,-123.53315480787377
6.600000000000001e-08,-102.38264609819134
6.8e-08,-79.2708987348639
7e-08,-54.6633598359372
7.200000000000001e-08,-28.55611923592915
7.4e-08,-0.6817317094780216
7.6e-08,29.16525210930462
7.800000000000001e-08,60.78017472493979
8e-08,93.28471758772207
8.2e-08,125.03602989699561
8.400000000000001e-08,153.75318958154742
8.6e-08,176.84872000696103
8.800000000000001e-08,191.89718929453542
9.000000000000001e-08,197.13302298484214
9.2e-08,191.85626818867317
9.400000000000001e-08,176.64220011825262
9.600000000000001e-08,153.2946378947812
9.8e-08,124.5430272222067
1.0000000000000001e-07,93.54489939663844
1.02e-07,63.30286910729215
1.04e-07,36.12690706148786
1.0600000000000001e-07,13.262661630638572
1.08e-07,-5.232597759171334
1.1e-07,-20.34369251323223
1.1200000000000001e-07,-33.722191133446714
1.14e-07,-47.17673079132793
1.16e-07,-62.15352972518262
1.1800000000000001e-07,-79.330706454781
1.2000000000000002e-07,-98.41902169901753
1.22e-07,-118.20869777923402
1.24e-07,-136.84058229439844
1.2600000000000002e-07,-152.2255877697422
1.28e-07,-162.50255040183728
1.3e-07,-166.4195136104436
1.3200000000000002e-07,-163.54766258640916
1.34e-07,-154.2839142540643
1.36e-07,-139.65500671303582
1.3800000000000002e-07,-120.98789974499884
1.4e-07,-99.54488921851737
1.42e-07,-76.22845842613773
1.4400000000000002e-07,-51.43905352420818
1.46e-07,-25.12466085150807
1.48e-07,2.993842746685738
